genre,label,loudness,energy,tempo,danceability,release_date
Pop,Columbia,-51.46,0.51,154.22,0.89,2020-06-20
Pop,Sony Music,-12.33,0.05,99.57,0.46,2019-03-10
Pop,XL Recordings,-30.28,0.59,167.79,0.85,2015-03-19
Pop,Island Records,-9.21,0.99,147.82,0.57,2017-09-25
Pop,XL Recordings,-54.75,0.02,102.88,0.14,2021-03-31
Pop,EMI,-49.67,0.9,152.89,0.81,2019-01-07
Pop,EMI,-10.9,0.39,95.48,0.82,2022-09-28
Pop,Island Records,-30.05,0.94,114.78,0.37,2021-05-18
Pop,EMI,-3.7,0.48,130.08,0.71,2017-09-07
Pop,EMI,-28.02,0.82,160.8,0.06,2020-09-24
Pop,Columbia,-7.46,0.28,104.73,0.54,2023-11-03
Pop,Warner Music,-33.73,0.04,66.77,0.53,2017-10-03
Pop,XL Recordings,-22.36,0.98,113.56,0.12,2016-06-01
Pop,Universal Music,-47.45,0.86,115.49,0.19,2017-03-24
Pop,Island Records,-10.49,0.91,75.06,0.05,2016-02-14
Pop,Warner Music,-15.45,0.82,175.82,0.23,2021-05-30
Pop,Sony Music,-53.36,0.77,83.09,0.78,2015-05-03
Pop,Warner Music,-5.58,0.27,96.63,0.86,2018-01-01
Pop,Sony Music,-34.14,0.61,70.18,0.42,2024-10-23
Pop,Universal Music,-49.47,0.38,123.21,0.27,2019-07-27
Pop,Warner Music,-6.28,0.88,107.79,0.95,2024-04-14
Pop,Island Records,-37.48,0.95,165.84,0.54,2019-02-07
Pop,Columbia,-29.7,0.34,160.63,0.2,2019-12-03
Pop,EMI,-9.53,0.67,138.88,0.35,2015-09-10
Pop,Warner Music,-23.33,0.11,110.08,0.83,2019-10-07
Pop,Warner Music,-23.2,0.97,127.37,0.76,2019-05-10
Pop,EMI,-10.86,0.41,192.08,0.84,2023-09-02
Pop,Sony Music,-2.02,0.19,104.1,0.05,2022-10-30
Pop,Sony Music,-31.43,0.44,106.52,0.58,2023-02-08
Pop,Island Records,-47.7,0.63,68.28,0.55,2015-01-05
Pop,XL Recordings,-41.31,0.43,60.4,0.52,2017-03-05
Pop,Columbia,-6.2,0.24,134.78,0.77,2023-01-21
Pop,Island Records,-8.76,0.06,162.13,0.98,2015-09-15
Pop,Columbia,-45.5,0.71,144.13,0.38,2016-11-04
Pop,Sony Music,-52.54,0.9,114.47,0.42,2025-11-25
Pop,EMI,-43,0.36,158.85,0.42,2019-04-11
Pop,Island Records,-40.3,0.77,138.83,0.84,2016-08-15
Pop,Columbia,-25.58,0.56,129.5,0.45,2015-07-24
Pop,XL Recordings,-38.73,0.48,86.98,0.16,2016-06-12
Pop,XL Recordings,-23.26,0.24,157.22,0.64,2024-08-03
Pop,Warner Music,-5.19,0.52,97.93,0.52,2019-12-19
Pop,Universal Music,-7.7,0.66,195.08,0.62,2020-12-26
Pop,EMI,-12.34,0.27,119.56,0.91,2020-03-07
Pop,Island Records,-8.55,0.27,139.75,0.52,2023-12-10
Pop,Sony Music,-43.39,0.83,111.97,0.7,2015-03-22
Pop,Universal Music,-10.67,0.04,196.74,0.48,2019-04-03
Pop,Sony Music,-22.94,0.71,60.47,0.32,2015-03-26
Pop,Columbia,-14.34,0.85,174.86,0.59,2019-07-22
Pop,Sony Music,-27.19,0.6,94.87,0.07,2017-09-30
Pop,Warner Music,-24.34,0.74,69.61,0.73,2015-12-21
Pop,Sony Music,-29.5,0.84,172.12,0.57,2021-07-24
Pop,XL Recordings,-32.17,0.84,125.6,0.76,2019-04-20
Pop,XL Recordings,-47.59,0.71,160.16,0.29,2016-04-14
Pop,Columbia,-49.6,0.8,62.77,0.88,2021-12-29
Pop,Island Records,-35.42,0.48,193.79,0.68,2016-09-21
Pop,Island Records,-14.88,0.55,108.06,0.91,2015-07-04
Pop,Island Records,-4.29,0.73,89.15,0.64,2017-06-23
Pop,Columbia,-22.63,0.97,198.36,0.96,2024-10-31
Pop,EMI,-21.49,0.16,95.08,0.16,2022-12-19
Pop,Columbia,-22.58,0.72,134.84,0.34,2015-01-20
Pop,EMI,-13.25,0.91,88.64,0.32,2024-03-19
Pop,EMI,-33.14,0.47,127.72,0.2,2017-12-10
Pop,Universal Music,-33.35,0.05,162.59,0.98,2023-12-20
Pop,Island Records,-33.41,0.07,66.61,0.38,2021-11-15
Pop,Island Records,-15.13,0.65,125.22,0.69,2024-06-07
Pop,Columbia,-49.61,0.15,195.31,0.07,2017-01-24
Pop,EMI,-17.44,0.98,114.46,0.12,2024-03-26
Pop,XL Recordings,-32.19,0.49,69.39,0.31,2024-08-04
Pop,Columbia,-47.36,0.8,81.27,0.29,2015-03-12
Pop,Columbia,-4.7,0.62,148.62,0.42,2024-11-16
Pop,Sony Music,-36.21,0.4,152.27,0.62,2020-03-05
Pop,Columbia,-11.76,0.31,138,0.76,2023-12-30
Pop,Warner Music,-1.77,0.83,103.43,0.64,2017-10-05
Pop,Island Records,-6.22,0.26,160.17,0.14,2023-12-25
Pop,XL Recordings,-46.69,0.93,145,0.48,2016-06-22
Pop,Universal Music,-1.17,0.79,189.66,0.68,2019-11-01
Pop,Sony Music,-1.76,0.62,156.83,0.34,2015-09-01
Pop,Sony Music,-52.01,0.81,119.38,0.95,2019-05-15
Pop,EMI,-54.62,0.9,76.48,0.39,2021-08-03
Pop,Warner Music,-13.13,0.42,199.16,0.62,2017-12-04
Pop,Universal Music,-23.6,0.34,112.76,0.7,2024-12-26
Pop,Columbia,-41.6,0.46,177.18,0.71,2019-04-01
Pop,Island Records,-20.18,0.94,140.98,0.63,2021-04-14
Pop,Universal Music,-3.55,0.76,142.94,0.2,2024-02-13
Pop,Universal Music,-9.23,0.69,154.44,0.31,2017-12-29
Pop,Warner Music,-2.95,0.79,98.21,0.8,2016-11-03
Pop,EMI,-33.55,0.08,68.17,0.76,2015-01-15
Pop,Island Records,-5.79,0.47,113.87,0.38,2016-03-09
Pop,Island Records,-12.2,0.08,132.64,0.2,2019-01-11
Pop,EMI,-11.44,0.95,71.87,0.96,2025-03-02
Pop,Sony Music,-5.46,0.93,127.64,0.3,2019-11-19
Pop,XL Recordings,-23.75,0.51,147.92,0.91,2020-01-01
Pop,Universal Music,-26.33,0.54,131.72,0.24,2017-12-30
Pop,Columbia,-5.88,0.57,101.63,0.7,2016-06-01
Pop,Columbia,-25.31,0.88,100.25,0.19,2017-06-23
Pop,XL Recordings,-40.34,0.71,155.68,0.86,2020-04-21
Pop,Universal Music,-13.36,0.54,92.66,0.59,2024-10-05
Pop,Sony Music,-19.93,0.23,178.2,0.93,2020-09-30
Pop,Universal Music,-48.03,0.71,102.64,0.94,2020-09-17
Pop,Warner Music,-52.15,0.73,110.47,0.15,2021-08-21
Pop,Warner Music,-10.65,0.51,110.5,0.72,2018-07-18
Pop,Universal Music,-49.47,0.67,188.54,0.42,2018-02-20
Pop,XL Recordings,-7.16,0.07,191.45,0.54,2017-03-16
Pop,Island Records,-9.97,0.69,134.61,0.68,2017-11-16
Pop,Warner Music,-48.64,0.94,114.51,0.2,2023-06-28
Pop,Island Records,-36.16,0.46,111.44,0.78,2015-01-20
Pop,Universal Music,-11.2,0.87,117.02,0.85,2019-04-09
Pop,Island Records,-6.57,0.82,189.05,0.99,2017-10-09
Pop,Columbia,-24.34,0.67,137.98,0.72,2019-02-21
Pop,XL Recordings,-53.32,0.11,93.66,0.41,2025-06-07
Pop,EMI,-42.39,0.19,86.17,0.72,2022-08-22
Pop,Warner Music,-36.3,0.13,83.19,0.13,2022-05-09
Pop,Warner Music,-22.87,0.18,93.93,0.52,2025-01-17
Pop,Warner Music,-17.76,0.87,183.51,0.3,2018-01-11
Pop,XL Recordings,-43.89,0.26,103.59,0.23,2024-03-23
Pop,EMI,-22.71,0.37,115.31,0.21,2017-05-13
Pop,EMI,-27.51,0.37,79.42,0.57,2016-10-03
Pop,Universal Music,-4.38,0.04,152.51,0.35,2022-04-11
Pop,Columbia,-33.78,0.7,93.26,0.72,2021-12-15
Pop,Universal Music,-32.81,0.77,139.58,0.95,2021-08-14
Pop,EMI,-14.43,0.13,196.78,0.35,2019-03-27
Pop,EMI,-47.1,0.63,197.79,0.64,2025-04-10
Pop,Sony Music,-32.57,0.2,69.08,0.13,2022-10-30
Pop,Columbia,-51.51,0.65,172.83,0.75,2018-04-17
Pop,EMI,-25.37,0.27,158.21,0.74,2021-10-24
Pop,Warner Music,-33.04,0.12,123.18,0.55,2018-06-10
Pop,Sony Music,-25.18,0.16,80.25,0.21,2019-06-15
Pop,Warner Music,-28.41,0.19,184.99,0.06,2023-12-05
Pop,Columbia,-4.61,0.89,183.61,0.29,2023-04-21
Pop,Universal Music,-5.14,0.9,118.78,0.65,2017-01-29
Pop,EMI,-32.73,0.3,95.27,0.09,2025-12-12
Pop,Warner Music,-41.23,0.32,92.85,0.59,2018-06-06
Pop,Island Records,-1.36,0.81,128.69,0.35,2018-03-01
Pop,Universal Music,-3.03,0.28,87.52,0.87,2021-01-22
Pop,Warner Music,-32.66,0.87,175.79,0.14,2022-05-23
Pop,Universal Music,-25.06,0.64,68.08,0.97,2023-12-08
Pop,Island Records,-2.74,0.82,128.97,0.75,2020-10-01
Pop,Sony Music,-9.35,0.14,79.17,0.81,2024-02-05
Pop,Columbia,-18.23,0.88,182.53,0.41,2019-05-06
Pop,Island Records,-53.27,0.62,175.49,0.66,2024-01-20
Pop,Island Records,-20.26,0.5,91.82,0.62,2017-08-04
Pop,XL Recordings,-12.58,0.52,73.38,0.36,2023-08-14
Pop,EMI,-1.28,0.07,60.14,0.73,2019-03-22
Pop,EMI,-46.8,0.52,67.63,0.05,2023-07-29
Pop,Island Records,-51.49,0.08,144.68,0.61,2021-08-30
Pop,Columbia,-9.91,0.25,122.03,0.81,2021-06-03
Pop,Warner Music,-50.04,0.85,134.63,0.18,2023-10-27
Pop,EMI,-38.17,0.56,181.18,0.66,2016-12-24
Pop,Island Records,-2.4,0.71,103.72,0.95,2019-01-24
Pop,Warner Music,-53.42,0.12,122.04,0.94,2017-09-27
Pop,Island Records,-47.7,0.96,156.31,0.49,2021-12-03
Pop,Island Records,-51.94,0.53,96.98,0.07,2016-01-16
Pop,Warner Music,-31.74,0.53,124.95,0.58,2017-06-17
Pop,Island Records,-33.1,0.67,155.65,0.12,2020-06-26
Pop,Sony Music,-12.87,0.65,113.85,0.42,2017-02-22
Pop,EMI,-38.21,0.07,166.29,0.11,2017-10-17
Pop,Island Records,-10.76,0.8,102.44,0.18,2017-09-17
Pop,Warner Music,-21.57,0.63,65.37,0.07,2024-03-24
Pop,Universal Music,-45.36,0.1,82.17,0.74,2022-04-22
Pop,XL Recordings,-40.34,0.46,163.63,0.67,2023-01-28
Pop,Sony Music,-14.48,0.86,167.55,0.64,2021-08-24
Pop,Universal Music,-50.73,0.52,168.05,0.89,2022-02-25
Pop,Universal Music,-2.51,0.21,148.15,0.36,2020-09-25
Pop,Columbia,-4.26,0.76,182.23,0.11,2015-10-16
Pop,Island Records,-34.47,0.65,98.25,0.37,2015-02-24
Pop,Universal Music,-6.18,0.06,157.22,0.59,2015-06-02
Pop,Island Records,-30.98,0.35,79.07,0.65,2015-07-30
Pop,Sony Music,-17.47,0.46,108.8,0.54,2017-07-19
Pop,Island Records,-39.27,0.68,182.84,0.19,2021-09-29
Pop,EMI,-29.4,0.28,69.11,0.38,2019-07-10
Pop,Columbia,-54.48,0.25,140.75,0.19,2016-08-09
Pop,Columbia,-3.95,0.42,182.32,0.93,2023-03-31
Pop,Warner Music,-21.74,0.86,165.89,0.31,2022-02-08
Pop,Warner Music,-32.52,0.86,129.1,0.16,2020-11-03
Pop,Warner Music,-26.45,0.47,99.07,0.66,2022-07-07
Pop,Island Records,-16.08,0.4,188.14,0.89,2023-03-20
Pop,Sony Music,-24.4,0.86,95.5,0.42,2018-08-04
Pop,Island Records,-25.29,0.84,129.25,0.43,2024-10-16
Pop,Columbia,-47.26,0.59,71.94,0.41,2016-12-23
Pop,Columbia,-14.21,0.62,126.83,0.31,2022-11-26
Pop,Columbia,-6.76,0.76,167.33,0.3,2016-02-08
Pop,Warner Music,-53.35,0.27,190.14,0.94,2020-11-11
Pop,Columbia,-26.13,0.42,122.93,0.73,2018-12-08
Pop,Universal Music,-49.23,0.07,80.97,0.41,2019-01-11
Pop,Universal Music,-40.12,0.78,60.45,0.92,2021-10-10
Pop,Universal Music,-11.9,0.62,164.32,0.73,2018-01-21
Pop,Island Records,-16.38,0.67,187.24,0.71,2018-11-29
Pop,XL Recordings,-31.49,0.47,110.11,0.77,2016-10-23
Pop,Sony Music,-6.19,0.04,149.38,0.49,2017-01-23
Pop,Sony Music,-18.5,0.04,173.33,0.2,2017-03-21
Pop,Universal Music,-20.77,0.74,131.31,0.23,2024-04-08
Pop,Sony Music,-28,0.77,194.99,0.34,2021-05-25
Pop,Universal Music,-2.41,0.46,112.31,0.07,2015-10-10
Pop,EMI,-29.74,0.74,183.29,0.49,2019-11-01
Pop,Columbia,-11.37,0.97,93.98,0.18,2023-09-16
Pop,Universal Music,-21,0.08,124.69,0.44,2021-05-14
Pop,Warner Music,-45.07,0.72,71.06,0.33,2019-07-04
Pop,XL Recordings,-41.29,0.38,146.39,0.78,2020-12-30
Pop,Sony Music,-24.18,0.89,109.73,0.73,2021-08-08
Pop,Warner Music,-49.87,0.04,180.24,0.2,2022-12-23
Pop,Warner Music,-37.98,0.84,62.16,0.17,2017-05-16
Pop,Sony Music,-20.34,0.02,92.62,0.1,2023-11-10
Pop,Sony Music,-32.51,0.87,116.1,0.09,2018-01-22
Pop,XL Recordings,-48.48,0.04,78,0.82,2020-03-16
Pop,Warner Music,-15.31,0.06,182.42,0.26,2019-02-19
Pop,Warner Music,-31.2,0.28,152.84,0.59,2023-01-19
Pop,Island Records,-53.01,0.93,108.4,0.55,2018-08-05
Pop,XL Recordings,-9.38,0.45,190.35,0.62,2024-01-06
Pop,Sony Music,-34.56,0.21,146.51,0.47,2018-02-14
Pop,XL Recordings,-3.43,0.64,127.62,0.28,2022-05-22
Pop,EMI,-22.85,0.65,73.14,0.29,2025-01-20
Pop,EMI,-28.71,0.24,71.25,0.85,2019-05-24
Pop,Sony Music,-7.1,0.84,189.01,0.64,2019-05-30
Pop,Warner Music,-7.73,0.94,110.67,0.06,2020-06-01
Pop,XL Recordings,-34.75,0.52,199.25,0.6,2017-11-04
Pop,Warner Music,-48.69,0.88,83.62,0.74,2025-02-19
Pop,EMI,-32.56,0.25,149.59,0.73,2024-05-15
Pop,XL Recordings,-10.42,0.77,143.83,0.92,2019-12-17
Pop,Columbia,-45.04,0.89,68.89,0.32,2015-11-03
Pop,Columbia,-9.66,0.91,99.43,0.15,2018-11-27
Pop,EMI,-24.82,0.83,106.4,0.5,2024-01-20
Pop,Island Records,-44.29,0.82,121.13,0.18,2020-05-06
Pop,XL Recordings,-40.75,0.18,73.99,0.55,2025-01-23
Pop,Sony Music,-44.03,0.9,181.4,0.58,2025-09-04
Pop,Sony Music,-27.79,0.31,168.02,0.2,2025-11-24
Pop,Sony Music,-3.07,0.89,168.55,0.9,2017-10-05
Pop,Warner Music,-19.73,0.94,82.95,0.85,2023-05-29
Pop,EMI,-36.01,0.17,97.13,0.12,2017-10-12
Pop,Sony Music,-19.16,0.59,134.95,0.13,2023-06-08
Pop,EMI,-36.25,0.35,185.58,0.24,2025-09-25
Pop,EMI,-26.34,0.51,163.13,0.3,2017-03-04
Pop,Sony Music,-18.91,0.35,81.98,0.19,2025-04-04
Pop,EMI,-12.62,0.05,128.35,0.58,2023-11-19
Pop,XL Recordings,-41.22,0.28,168.46,0.67,2020-02-24
Pop,EMI,-47.12,0.93,176.84,0.76,2016-09-07
Pop,Island Records,-16.14,0.33,65.25,0.48,2021-04-27
Pop,EMI,-26.09,0.19,175.76,0.86,2020-10-05
Pop,Island Records,-16.79,0.86,152.13,0.78,2019-02-09
Pop,XL Recordings,-36.19,0.58,61.78,0.24,2015-01-02
Pop,Universal Music,-52.56,0.43,99.59,0.56,2025-07-20
Pop,Island Records,-43.5,0.45,190.65,0.91,2015-09-18
Pop,Columbia,-29.16,0.91,199.37,0.53,2022-01-22
Pop,Universal Music,-11.45,0.77,93,0.6,2025-05-14
Pop,Columbia,-4.3,0.78,64.92,0.53,2025-03-21
Pop,EMI,-12.68,0.26,124.58,0.77,2021-10-14
Pop,Columbia,-35.38,0.12,80.9,0.51,2019-01-22
Pop,Columbia,-29.34,0.12,197.44,0.57,2024-06-17
Pop,Sony Music,-51.72,0.27,101.66,0.35,2015-01-03
Pop,XL Recordings,-40.58,0.1,87.1,0.93,2017-10-21
Pop,Universal Music,-12.15,0.75,93.4,0.45,2020-01-25
Pop,Island Records,-41.6,0.14,108.11,0.08,2024-07-11
Pop,EMI,-5.67,0.25,175.58,0.24,2025-07-10
Pop,Universal Music,-30.71,0.14,171.67,0.79,2020-05-30
Pop,Sony Music,-2.06,0.08,97.56,0.27,2019-11-03
Pop,XL Recordings,-32.51,0.45,79.52,0.79,2021-12-04
Pop,Sony Music,-11.91,0.97,155.58,0.27,2022-03-18
Pop,XL Recordings,-39.31,0.52,192.94,0.43,2021-10-08
Pop,Island Records,-12.81,0.63,190,0.53,2025-06-05
Pop,Warner Music,-16.75,0.98,116.26,0.41,2019-11-14
Pop,EMI,-54.59,0.98,185.57,0.1,2016-01-03
Pop,Warner Music,-32.16,0.56,65.87,0.74,2022-10-23
Pop,XL Recordings,-47.13,0.9,155.1,0.39,2018-03-10
Pop,Universal Music,-24.45,0.88,191.2,0.87,2025-03-09
Pop,Sony Music,-54.31,0.08,154.29,0.97,2019-11-11
Pop,Sony Music,-14.27,0.71,116.38,0.1,2019-09-24
Pop,Sony Music,-43.09,0.57,84,0.48,2015-04-05
Pop,Island Records,-7.17,0.04,186.1,0.18,2016-10-02
Pop,Universal Music,-38.88,0.56,142.06,0.86,2017-04-19
Pop,EMI,-44.17,0.13,168.23,0.29,2024-08-24
Pop,EMI,-10.19,0.92,72.16,0.79,2025-04-05
Pop,Universal Music,-45.46,0.84,70.36,0.54,2023-05-04
Pop,Columbia,-51.23,0.98,63.16,0.76,2025-09-04
Pop,Universal Music,-23,0.4,99.76,0.77,2021-09-26
Pop,XL Recordings,-27.73,0.88,160.89,0.63,2021-01-10
Pop,Warner Music,-9.84,0.91,111.69,0.59,2024-07-04
Pop,Warner Music,-54.76,0.49,173.5,0.58,2015-07-28
Pop,Island Records,-47.36,0.78,72.29,0.87,2022-07-16
Pop,EMI,-46.65,0.67,167.36,0.98,2025-02-14
Pop,EMI,-43.53,0.6,128.01,0.62,2020-10-25
Pop,XL Recordings,-53.44,0.62,143.47,0.91,2023-08-01
Pop,Columbia,-16.33,0.41,146.25,0.62,2017-09-06
Pop,EMI,-31.23,0.05,100.74,0.25,2018-03-03
Pop,Island Records,-27.81,0.98,74.96,0.25,2015-04-01
Pop,EMI,-26.15,0.52,187.87,0.63,2021-01-01
Pop,Sony Music,-2.25,0.65,99.61,0.37,2017-06-20
Pop,Universal Music,-10.77,0.5,122.89,0.74,2016-07-05
Pop,Warner Music,-35.04,0.05,124.66,0.19,2021-10-23
Pop,XL Recordings,-20.74,0.58,170.44,0.75,2019-09-18
Pop,XL Recordings,-16.77,0.29,185.83,0.47,2025-09-01
Pop,EMI,-51.22,0.26,134.03,0.98,2017-10-21
Pop,Island Records,-34.16,0.93,70.36,0.63,2024-03-20
Pop,Island Records,-42.91,0.18,88.19,0.09,2017-11-06
Pop,Universal Music,-4.67,0.43,168.26,0.09,2017-03-31
Pop,Island Records,-45.3,0.32,128.63,0.75,2015-04-08
Pop,Warner Music,-30.57,0.78,84.88,0.71,2022-06-18
Pop,Sony Music,-26.89,0.62,83.39,0.19,2024-11-30
Pop,Sony Music,-22.16,0.41,72.03,0.14,2019-03-12
Pop,XL Recordings,-44.2,0.42,140.5,0.83,2022-01-14
Pop,EMI,-12.35,0.23,79.44,0.29,2023-06-14
Pop,Columbia,-8.46,0.75,119.28,0.31,2021-07-14
Pop,EMI,-17.32,0.41,63.03,0.55,2018-09-01
Pop,Sony Music,-45.97,0.87,175.56,0.34,2017-03-18
Pop,Island Records,-9.48,0.41,115.4,0.1,2021-01-22
Pop,Universal Music,-40.8,0.72,173.78,0.67,2017-10-15
Pop,Warner Music,-19.69,0.03,191.56,0.09,2022-04-05
Pop,XL Recordings,-28.8,0.03,149.73,0.48,2022-05-21
Pop,XL Recordings,-39.09,0.43,61.7,0.56,2015-11-18
Pop,Island Records,-15.42,0.64,172.86,0.33,2025-03-30
Pop,Island Records,-48.49,0.91,63.69,0.46,2015-02-27
Pop,Columbia,-38.23,0.68,186.39,0.21,2022-01-22
Pop,Universal Music,-4.95,0.89,120.83,0.73,2020-11-22
Pop,Warner Music,-35.41,0.71,96.78,0.98,2022-02-05
Pop,EMI,-36.41,0.61,87.76,0.3,2017-12-27
Pop,Sony Music,-54.54,0.2,90.51,0.54,2022-02-05
Pop,Sony Music,-44.35,0.13,131.64,0.88,2015-07-20
Pop,EMI,-28.63,0.48,144.18,0.33,2016-01-24
Pop,XL Recordings,-48.64,0.32,65.81,0.2,2016-04-14
Pop,Island Records,-26.71,0.56,166.56,0.25,2025-04-15
Pop,Universal Music,-17.9,0.79,62.77,0.08,2021-03-04
Pop,Island Records,-22.88,0.23,68.04,0.15,2021-09-26
Pop,Universal Music,-43.26,0.26,168.81,0.49,2024-11-05
Pop,Universal Music,-53.57,0.4,129.48,0.93,2019-02-08
Pop,Sony Music,-22.86,0.69,184.33,0.61,2019-05-12
Pop,Warner Music,-16.86,0.38,90.14,0.15,2025-12-23
Pop,Warner Music,-22.87,0.72,155.78,0.08,2022-05-29
Pop,Columbia,-29,0.15,115.7,0.17,2020-05-24
Pop,Island Records,-37.5,0.11,101.3,0.35,2021-01-29
Pop,Island Records,-9.85,0.73,172.74,0.18,2023-03-11
Pop,Columbia,-14.58,0.3,111.83,0.43,2017-04-26
Pop,Columbia,-27.48,0.13,98.82,0.95,2024-09-05
Pop,XL Recordings,-54.28,0.47,173.27,0.07,2018-02-03
Pop,Columbia,-21.79,0.89,62.89,0.48,2017-06-09
Pop,EMI,-53.99,0.24,139.8,0.87,2022-07-10
Pop,EMI,-17.53,0.48,103.49,0.66,2017-07-01
Pop,XL Recordings,-37.58,0.18,186.64,0.13,2023-07-04
Pop,Island Records,-39.62,0.48,97.67,0.8,2022-07-03
Pop,Island Records,-50.22,0.46,91.28,0.53,2019-05-03
Pop,Island Records,-52.56,0.86,63.07,0.7,2016-12-13
Pop,XL Recordings,-39.6,0.57,141.11,0.42,2025-06-01
Pop,Columbia,-32.71,0.19,74.05,0.62,2023-05-10
Pop,Sony Music,-29.63,0.95,124.14,0.45,2018-06-13
Pop,XL Recordings,-50.59,0.28,192.18,0.59,2024-08-17
Pop,Universal Music,-8,0.62,132.4,0.71,2022-04-11
Pop,Columbia,-30.27,0.88,95.97,0.32,2021-11-11
Pop,EMI,-14.19,0.49,74.83,0.76,2022-06-22
Pop,Warner Music,-30.81,0.84,188.85,0.42,2023-11-02
Pop,Sony Music,-19.1,0.15,150.37,0.6,2023-09-18
Pop,Warner Music,-17.12,0.43,155.14,0.44,2021-01-03
Pop,Island Records,-21.52,0.41,199.45,0.94,2025-04-07
Pop,Columbia,-2.72,0.36,139.7,0.16,2023-12-30
Pop,Sony Music,-25.42,0.36,110.95,0.28,2024-02-03
Pop,XL Recordings,-13.34,0.22,116.63,0.37,2020-09-02
Pop,Warner Music,-50.03,0.84,136.06,0.73,2020-08-08
Pop,Sony Music,-35.64,0.49,187.11,0.78,2024-01-23
Pop,Sony Music,-39.68,0.68,187.76,0.63,2015-04-05
Pop,XL Recordings,-14.69,0.6,99.17,0.44,2024-06-28
Pop,Columbia,-39.15,0.29,91.32,0.81,2015-06-15
Pop,Sony Music,-45.03,0.66,159.39,0.3,2018-03-20
Pop,Universal Music,-32.83,0.42,108.51,0.64,2019-05-05
Pop,EMI,-7.35,0.09,128.15,0.37,2017-04-28
Pop,XL Recordings,-15.43,0.77,143.53,0.06,2018-08-24
Pop,Universal Music,-44.52,0.85,104.46,0.31,2019-06-23
Pop,EMI,-19.72,0.51,116.49,0.17,2018-02-01
